time,id,x,y,z,rad,timeLife,mass,temp,charge
18.5,8,5,1,5,0.274164,0.5,0.0751661,103.039,0.802176
19,0,5.3754,2.76024,2.32899,0.698675,7.5,0.488147,1705.28,0.703734
19,1,7.09621,2.95637,3.1034,0.0785574,5,0.00617127,2.42399,0.847353
19,2,2.18071,1.34452,4.68774,0.396481,4,0.157197,311.629,0.658791
19,3,6.50461,2.35495,4.18449,0.300123,3.5,0.0900739,135.166,0.320909
19,4,3.55866,2.15111,4.9681,0.188231,3,0.0354309,33.3459,0.863317
19,5,5.34528,2.58696,5.63233,0.364056,2.5,0.132537,241.254,0.83632
19,6,6.20873,4.08544,6.07115,1.22863,16.5,1.50954,9273.33,-3.52701
19,7,4.8132,1.4142,5.41743,0.302315,2,0.0913943,138.149,-0.977107
19,8,5.10859,1.08082,4.9544,0.372948,1,0.13909,259.368,1.69332
19.5,0,5.41232,2.90553,2.09752,0.698675,8,0.488147,1705.28,0.703734
19.5,1,7.32912,3.17375,2.89267,0.0785574,5.5,0.00617127,2.42399,0.847353
19.5,2,1.77796,1.39374,4.64313,0.396481,4.5,0.157197,311.629,0.658791
19.5,3,6.75538,2.58078,4.04857,0.300123,4,0.0900739,135.166,0.320909
19.5,4,3.27039,2.38133,4.96172,0.188231,3.5,0.0354309,33.3459,0.863317
19.5,5,5.4316,2.9837,5.79041,0.364056,3,0.132537,241.254,0.83632
19.5,6,6.26534,4.20878,6.10173,1.22863,17,1.50954,9273.33,-3.52701
19.5,7,4.71961,1.61946,5.62778,0.302315,2.5,0.0913943,138.149,-0.977107
19.5,8,5.12656,1.19187,5.01452,0.37586,1.5,0.141271,265.49,2.18493
20,0,5.44924,3.05081,1.86605,0.698675,8.5,0.488147,1705.28,0.703734
20,1,7.56204,3.39112,2.68193,0.0785574,6,0.00617127,2.42399,0.847353
20,2,1.3752,1.44296,4.59853,0.396481,5,0.157197,311.629,0.658791
20,3,7.00614,2.8066,3.91265,0.300123,4.5,0.0900739,135.166,0.320909
20,4,2.98212,2.61155,4.95534,0.188231,4,0.0354309,33.3459,0.863317
20,5,5.51791,3.38044,5.94849,0.364056,3.5,0.132537,241.254,0.83632
20,6,6.32195,4.33212,6.13231,1.22863,17.5,1.50954,9273.33,-3.52701
20,7,4.62602,1.82472,5.83813,0.302315,3,0.0913943,138.149,-0.977107
20,8,5.07195,1.15096,5.03541,0.536233,2,0.287546,770.958,2.81286
20.5,0,5.48616,3.1961,1.63458,0.698675,9,0.488147,1705.28,0.703734
20.5,1,7.79495,3.60849,2.4712,0.0785574,6.5,0.00617127,2.42399,0.847353
20.5,2,0.972446,1.49218,4.55392,0.396481,5.5,0.157197,311.629,0.658791
20.5,3,7.25691,3.03243,3.77673,0.300123,5,0.0900739,135.166,0.320909
20.5,4,2.69385,2.84178,4.94896,0.188231,4.5,0.0354309,33.3459,0.863317
20.5,5,4.53243,2.02998,6.04849,0.302315,3.5,0.0913943,138.149,-0.977107
20.5,6,6.31605,4.40071,6.15835,1.28143,4,1.64207,10521,-2.69069
20.5,7,5.08969,1.12982,5.1205,0.702963,2.5,0.494157,1736.87,3.24984
21,0,5.52308,3.34138,1.40311,0.698675,9.5,0.488147,1705.28,0.703734
21,1,8.02786,3.82587,2.26046,0.0785574,7,0.00617127,2.42399,0.847353
21,2,0.569691,1.54139,4.50931,0.396481,6,0.157197,311.629,0.658791
21,3,7.50768,3.25825,3.64081,0.300123,5.5,0.0900739,135.166,0.320909
21,4,2.40558,3.072,4.94259,0.188231,5,0.0354309,33.3459,0.863317
21,5,4.43884,2.23524,6.25884,0.302315,4,0.0913943,138.149,-0.977107
21,6,6.37506,4.54611,6.19922,1.28143,4.5,1.64207,10521,-2.69069
21,7,5.11841,1.18719,5.15417,0.71673,3,0.513702,1840.93,2.61204
21.5,0,5.56,3.48667,1.17164,0.698675,10,0.488147,1705.28,0.703734
21.5,1,8.26077,4.04324,2.04973,0.0785574,7.5,0.00617127,2.42399,0.847353
21.5,2,7.75845,3.48408,3.50489,0.300123,6,0.0900739,135.166,0.320909
21.5,3,2.11731,3.30222,4.93621,0.188231,5.5,0.0354309,33.3459,0.863317
21.5,4,4.34525,2.4405,6.4692,0.302315,4.5,0.0913943,138.149,-0.977107
21.5,5,6.43406,4.69152,6.24009,1.28143,5,1.64207,10521,-2.69069
21.5,6,5.1222,1.21467,5.17457,0.782236,3.5,0.611894,2393.23,3.42409
22,0,5.59692,3.63195,0.940172,0.698675,10.5,0.488147,1705.28,0.703734
22,1,8.49369,4.26062,1.839,0.0785574,8,0.00617127,2.42399,0.847353
22,2,8.00922,3.7099,3.36897,0.300123,6.5,0.0900739,135.166,0.320909
22,3,1.82904,3.53244,4.92983,0.188231,6,0.0354309,33.3459,0.863317
22,4,4.25166,2.64576,6.67955,0.302315,5,0.0913943,138.149,-0.977107
22,5,6.49307,4.83692,6.28096,1.28143,5.5,1.64207,10521,-2.69069
22,6,5.11964,1.2593,5.19683,0.85223,4,0.726296,3094.86,3.99174
22.5,0,5.63384,3.77724,0.708702,0.698675,11,0.488147,1705.28,0.703734
22.5,1,8.7266,4.47799,1.62826,0.0785574,8.5,0.00617127,2.42399,0.847353
22.5,2,8.25998,3.93573,3.23305,0.300123,7,0.0900739,135.166,0.320909
22.5,3,1.54077,3.76266,4.92345,0.188231,6.5,0.0354309,33.3459,0.863317
22.5,4,4.15807,2.85102,6.88991,0.302315,5.5,0.0913943,138.149,-0.977107
22.5,5,6.55207,4.98233,6.32183,1.28143,6,1.64207,10521,-2.69069
22.5,6,5.07475,1.29002,5.19901,0.947838,4.5,0.898398,4257.68,4.58235
23,0,8.95951,4.69537,1.41753,0.0785574,9,0.00617127,2.42399,0.847353
23,1,8.51075,4.16155,3.09713,0.300123,7.5,0.0900739,135.166,0.320909
23,2,1.2525,3.99288,4.91707,0.188231,7,0.0354309,33.3459,0.863317
23,3,4.06449,3.05628,7.10026,0.302315,6,0.0913943,138.149,-0.977107
23,4,6.61107,5.12773,6.36271,1.28143,6.5,1.64207,10521,-2.69069
23,5,4.9745,1.36886,5.21177,0.950977,5,0.904357,4300.11,4.82768
23.5,0,9.19242,4.91274,1.2068,0.0785574,9.5,0.00617127,2.42399,0.847353
23.5,1,8.76152,4.38738,2.96121,0.300123,8,0.0900739,135.166,0.320909
23.5,2,0.964234,4.22311,4.91069,0.188231,7.5,0.0354309,33.3459,0.863317
23.5,3,3.9709,3.26154,7.31061,0.302315,6.5,0.0913943,138.149,-0.977107
23.5,4,6.67008,5.27314,6.40358,1.28143,7,1.64207,10521,-2.69069
23.5,5,4.88716,1.40639,5.2029,1.00096,5.5,1.00192,5014.41,5.33697
24,0,9.42534,5.13012,0.996064,0.0785574,10,0.00617127,2.42399,0.847353
24,1,9.01229,4.6132,2.8253,0.300123,8.5,0.0900739,135.166,0.320909
24,2,0.675965,4.45333,4.90431,0.188231,8,0.0354309,33.3459,0.863317
24,3,3.87731,3.4668,7.52097,0.302315,7,0.0913943,138.149,-0.977107
24,4,6.72908,5.41854,6.44445,1.28143,7.5,1.64207,10521,-2.69069
24,5,4.7949,1.49921,5.22774,1.01092,6,1.02196,5165.6,4.3393
24.5,0,9.65825,5.34749,0.785331,0.0785574,10.5,0.00617127,2.42399,0.847353
24.5,1,9.26305,4.83903,2.68938,0.300123,9,0.0900739,135.166,0.320909
24.5,2,0.387696,4.68355,4.89793,0.188231,8.5,0.0354309,33.3459,0.863317
24.5,3,3.78372,3.67207,7.73132,0.302315,7.5,0.0913943,138.149,-0.977107
24.5,4,6.78809,5.56395,6.48532,1.28143,8,1.64207,10521,-2.69069
24.5,5,4.73271,1.53827,5.22603,1.06757,6.5,1.13971,6083.63,3.36176
25,0,9.89116,5.56487,0.574597,0.0785574,11,0.00617127,2.42399,0.847353
25,1,9.51382,5.06485,2.55346,0.300123,9.5,0.0900739,135.166,0.320909
25,2,3.69013,3.87733,7.94168,0.302315,8,0.0913943,138.149,-0.977107
25,3,6.84709,5.70935,6.52619,1.28143,8.5,1.64207,10521,-2.69069
25,4,4.69961,1.53183,5.19891,1.16233,7,1.351,7851.52,3.91722
25.5,0,3.59654,4.08259,8.15203,0.302315,8.5,0.0913943,138.149,-0.977107
25.5,1,6.9061,5.85475,6.56706,1.28143,9,1.64207,10521,-2.69069
